Title;Price;Area;Rooms;Price per m2;Floor;City_or_District;Province
Wierzbowa, ciche, blok z cegły, do zamieszkania;490000;55.0;2;8909;3;Łódź;łódzkie
Centrum Katowice Zabrska Mickiewicza 2 pokoje;521524;43.28;2;12050;4;Katowice;śląskie
Taka cena?! To możliwe!;109900;51.0;2;2155;1;raciborski;śląskie
Inwestycja, Centrum, 3 Pokoje;487000;52.7;3;9241;3;Toruń;kujawsko-pomorskie
NOWOŚĆ- Tkacka Kaskady - 3 pok| prywatny garaż;674700;67.47;3;10000;1;Rzeszów;podkarpackie
mieszkanie bezczynszowe, klimatyzacja, 2 pokoje;415000;37.5;2;11067;4;Tychy;śląskie
Mieszkanie na Saskiej Kępie Warszawa 2-pokojowe;665000;38.0;2;17500;4;Warszawa;mazowieckie
Śródmieście - al. Jana Pawła II/ ul. Grzybowska;830000;39.0;2;21282;10;Warszawa;mazowieckie
2 pokojowe po generalnym remoncie, Metro Płocka;1240000;61.4;2;20195;2;Warszawa;mazowieckie
Mieszkanie + garaż w świetnej lokalizacji 75,5m²;699000;75.5;3;9258;2;Lublin;lubelskie
Okazja Katowice Koszutka Owocowa nowe osiedle;398500;36.14;2;11027;1;Katowice;śląskie
2 - piętrowe mieszkanie w doskonałej lokalizacji !;999000;113.0;4;8841;3;Gdynia;pomorskie
3 pokojowe (możliwość aranżacji 4), Metro Młociny;1595000;75.87;3;21023;4;Warszawa;mazowieckie
Apartamenty Łagodna, nowe mieszkania 22A;650085;68.43;3;9500;1;Bielsko-Biała;śląskie
4-pokojowe mieszkanie Praga-Południe na sprzedaż.;968527;69.23;4;13990;1;Warszawa;mazowieckie
Do życia i pod najem;729000;47.8;2;15251;3;Warszawa;mazowieckie
3 pokojowy apartament premium na osiedlu AromaPark;1885000;97.18;3;19397;1;Warszawa;mazowieckie
Nowy, wykończony apartament 3 pokoje BRANÓWEK;1079000;87.0;3;12402;0;Kielce;świętokrzyskie
Katowice Paderewskiego Sikorskiego ogród 30m2;475990;39.0;2;12205;1;Katowice;śląskie
4 pokojowe mieszkanie, Nowy Ursus;1480000;78.0;4;18974;4;Warszawa;mazowieckie
Piękne, dwupoziomowe mieszkanie na Ołtaszynie;770000;85.82;3;8972;2;Wrocław;dolnośląskie
Przestronne mieszkanie z widokiem na zieleń!;819000;67.6;5;12115;2;Warszawa;mazowieckie
2 pokoje- dobry standard, spółdzielcze;469000;48.0;2;9771;4;Szczecin;zachodniopomorskie
Osiedle Dworska | mieszkanie A8;912870;79.38;3;11500;0;Katowice;śląskie
Nowoczesne, 3-pokojowe mieszkanie w cichej okolicy;1069000;56.54;3;18907;2;Warszawa;mazowieckie
Piaseczno 82m2 cztery pokoje. Cztery pokoje.;699000;82.0;4;8524;3;piaseczyński;mazowieckie
2-Pokojowe Mieszkanie Do Zamieszkania Tysiąclecie;249000;37.0;2;6730;3;Częstochowa;śląskie
GOTOWE, do wprowadzenia od zaraz. TOP lokalizacja;519000;49.4;2;10506;2;tarnogórski;śląskie
Mieszkanie w odrestaurowanej kamienicy w centrum;279900;30.09;1;9302;1;Łódź;łódzkie
Kawalerka z ogródkiem - Projekt Redena;237795;28.65;1;8300;0;Górnicza;śląskie
Prestiżowy apartament na Wilda, ogromny TARAS;1080000;87.0;3;12414;5;Poznań;wielkopolskie
CENTRUM, ul. Kościuszki, klimatyzacja, parking;824000;55.0;2;14982;3;Wrocław;dolnośląskie
Wyjątkowy apartament w Centrum Poznania;1650000;121.0;4;13636;4;Poznań;wielkopolskie
Dwa pokoje w kamienicy przy Parku Promenada;998900;33.46;2;29854;2;Warszawa;mazowieckie
Oporów Segment - 4 pokoje z garażem;1299000;147.0;3;8837;1;Wrocław;dolnośląskie
Katowice Brynów Wita Stwosza Ceglana;346625;27.73;1;12500;1;Katowice;śląskie
3 Pokoje Centrum Do Remontu Inwestycja;199900;80.0;3;2499;0;Bytom;śląskie
Maślice - Al. Śliwowa - 3 pokoje;599000;51.0;3;11745;3;Wrocław;dolnośląskie
2 pokoje, bezpieczny widok,;1010000;45.35;2;22271;4;Warszawa;mazowieckie
Gotowe mieszkanie 49 m2, 3 pokoje z aneksem kuch.;563785;49.27;3;11443;0;Lublin;lubelskie
Przestronne z dużym balkonem i komórką;670000;53.0;2;12642;1;Wrocław;dolnośląskie
Gotowa do zamieszkania kawalerka na Grochowie;650000;42.42;1;15323;9;Warszawa;mazowieckie
4 pokoje, Przymorze, Park Reagana, 800 m plaża;1920000;101.1;4;18991;2;Gdańsk;pomorskie
Mieszkanie Gdańsk śródmieście 3 pokoje;685000;54.5;3;12569;8;Gdańsk;pomorskie
NISKOCZYNSZOWE MIESZKANIE - ZABŁOCKIEGO , GNIEZNO;349900;49.0;2;7141;3;gnieźnieński;wielkopolskie
Panoramiqa | mieszkanie 3-pok. | C.06.006;738000;65.92;3;11195;6;Poznań;wielkopolskie
Konstancin -Jeziorna mieszkanie po remoncie.;590000;48.0;3;12292;4;piaseczyński;mazowieckie
Wyjątkowe mieszkanie! Świetna lokalizacja! M5;1550000;84.41;5;18363;2;Gdańsk;pomorskie
Nowe mieszkanie z ogródkiem na sprzedaż;765000;62.69;3;12203;0;Opole;opolskie
Gliwice Sikornik, nowe mieszkanie 3 pokoje | 2_M4;621428;67.45;3;9213;1;Gliwice;śląskie
Gotowe 4-pokojowe mieszkanie 100m2 + 2 balkony;1364001;100.87;4;13522;1;Wrocław;dolnośląskie
3 Pokoje | 52,5 m2 | Wysoki Standard | Ząbki;749000;52.5;3;14267;4;wołomiński;mazowieckie
